City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kourou,5.1552,-52.6478,82.45,64,37,8.32,GF,1722707531
1,betio village,1.358,172.9211,82.44,72,37,13.71,KI,1722707532
2,aasiaat,68.7098,-52.8699,41.36,79,6,8.5,GL,1722707533
3,tiksi,71.6872,128.8694,43.21,81,98,1.54,RU,1722707534
4,chernyshevsk,52.5243,117.0174,61.32,91,100,10.89,RU,1722707535
5,port-aux-francais,-49.35,70.2167,37.22,81,86,23.29,TF,1722707536
6,adamstown,-25.066,-130.1015,69.35,72,6,13.73,PN,1722707537
7,port alfred,-33.5906,26.891,64.18,44,49,12.39,ZA,1722707538
8,papatowai,-46.5619,169.4708,41.83,80,96,5.75,NZ,1722707539
9,haiku-pauwela,20.9219,-156.3051,76.26,89,84,7.0,US,1722707541
10,ushuaia,-54.8,-68.3,29.86,86,75,14.97,AR,1722707542
11,edinburgh of the seven seas,-37.0676,-12.3116,52.3,71,95,28.19,SH,1722707543
12,hawaiian paradise park,19.5933,-154.9731,73.9,99,75,5.75,US,1722707544
13,yellowknife,62.456,-114.3525,68.41,45,75,12.66,CA,1722707545
14,isafjordur,66.0755,-23.124,53.64,76,75,24.16,IS,1722707546
15,tchollire,8.4022,14.1698,80.11,69,99,2.8,CM,1722707547
16,waitangi,-43.9535,-176.5597,46.81,82,68,3.0,NZ,1722707548
17,anadyr,64.75,177.4833,48.7,93,75,2.24,RU,1722707550
18,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,100,0,6.71,RU,1722707551
19,puerto natales,-51.7236,-72.4875,34.25,100,100,1.14,CL,1722707552
20,tofol,5.3248,163.0078,83.12,74,98,9.73,FM,1722707554
21,blackmans bay,-43.0167,147.3167,46.53,78,100,1.01,AU,1722707555
22,meraux,29.933,-89.9498,96.01,61,0,6.91,US,1722707556
23,afaahiti,-17.75,-149.2833,71.47,67,68,9.31,PF,1722707557
24,kapuskasing,49.4169,-82.4331,77.09,46,75,17.27,CA,1722707530
25,horta,38.5333,-28.6333,78.44,73,20,11.5,PT,1722707559
26,grytviken,-54.2811,-36.5092,24.46,95,100,10.92,GS,1722707560
27,kerikeri,-35.2268,173.9474,53.91,88,100,5.01,NZ,1722707561
28,kudymkar,59.0173,54.656,58.8,92,86,3.91,RU,1722707562
29,hermanus,-34.4187,19.2345,45.81,72,52,3.94,ZA,1722707463
30,westport,41.1415,-73.3579,91.78,62,0,13.8,US,1722707565
31,bethel,41.3712,-73.414,90.36,65,0,9.22,US,1722707566
